year,property_tax,sales_use_tax
1992,20475986,19925131
1993,21529667,11185732
1994,23607697,12644135
1995,23456044,14140065
1996,24840143,28170440
1997,24819549,30492273
1998,24516098,28193978
1999,25260449,31351325
2000,26247991,33605688
2001,27931779,35281705
2002,29576377,34778468
2003,31614025,34032379
2004,34615305,35544138
2005,36204667,36696912
2006,38367524,38636945
2007,40517577,41414582
2008,43117039,42796701
2009,45687437,37302421
2010,49393783,41626510
2011,50127093,38123093
2012,48207862,40499477
2013,47995285,41503346
2014,49912146,41401253
2015,50830882,43771583
2016,52508170,44032691
2017,54238279,44901142
2018,57248934,52495274
2019,60844464,71723658
2020,67142373,75050251
2021,69478641,80512133
2022,74678486,94139356
