Year,gun_type,num_guns
1990,Pistols,1371427
1991,Pistols,1378252
1992,Pistols,1669537
1993,Pistols,2093362
1994,Pistols,2004298
1995,Pistols,1195284
1996,Pistols,987528
1997,Pistols,1036077
1998,Pistols,960365
1999,Pistols,995446
2000,Pistols,1004351
2001,Pistols,677434
2002,Pistols,743016
2003,Pistols,826986
2004,Pistols,837017
2005,Pistols,807237
2006,Pistols,1021544
2007,Pistols,1222718
2008,Pistols,1387349
2009,Pistols,1870063
2010,Pistols,2212226
2011,Pistols,2598256
2012,Pistols,3488865
2013,Pistols,4441726
2014,Pistols,3636048
2015,Pistols,3557199
1990,Revolvers,470495
1991,Revolvers,459466
1992,Revolvers,469413
1993,Revolvers,562292
1994,Revolvers,586450
1995,Revolvers,527664
1996,Revolvers,498944
1997,Revolvers,370428
1998,Revolvers,324390
1999,Revolvers,335798
2000,Revolvers,318960
2001,Revolvers,320143
2002,Revolvers,347070
2003,Revolvers,309364
2004,Revolvers,294099
2005,Revolvers,274399
2006,Revolvers,382067
2007,Revolvers,391334
2008,Revolvers,431753
2009,Revolvers,547526
2010,Revolvers,559673
2011,Revolvers,572857
2012,Revolvers,667357
2013,Revolvers,725282
2014,Revolvers,744047
2015,Revolvers,885259
1990,Rifles,1211664
1991,Rifles,883482
1992,Rifles,1001833
1993,Rifles,1173694
1994,Rifles,1316607
1995,Rifles,1441120
1996,Rifles,1424315
1997,Rifles,1251341
1998,Rifles,1346959
1999,Rifles,1569685
2000,Rifles,1583097
2001,Rifles,1284551
2002,Rifles,1515535
2003,Rifles,1430433
2004,Rifles,1336077
2005,Rifles,1433560
2006,Rifles,1500659
2007,Rifles,1618257
2008,Rifles,1747502
2009,Rifles,2256912
2010,Rifles,1831831
2011,Rifles,2318207
2012,Rifles,3172451
2013,Rifles,3979568
2014,Rifles,3379931
2015,Rifles,3691799
1990,Shotguns,855970
1991,Shotguns,828426
1992,Shotguns,1018204
1993,Shotguns,1148939
1994,Shotguns,1254924
1995,Shotguns,1176958
1996,Shotguns,925732
1997,Shotguns,915978
1998,Shotguns,1036520
1999,Shotguns,1106995
2000,Shotguns,898442
2001,Shotguns,679874
2002,Shotguns,741384
2003,Shotguns,726078
2004,Shotguns,733623
2005,Shotguns,709313
2006,Shotguns,714618
2007,Shotguns,645600
2008,Shotguns,630663
2009,Shotguns,752755
2010,Shotguns,743092
2011,Shotguns,862401
2012,Shotguns,949010
2013,Shotguns,1203072
2014,Shotguns,935433
2015,Shotguns,777273
1990,Total firearms,3909556
1991,Total firearms,3549626
1992,Total firearms,4158987
1993,Total firearms,4978287
1994,Total firearms,5162279
1995,Total firearms,4341026
1996,Total firearms,3836519
1997,Total firearms,3573824
1998,Total firearms,3668234
1999,Total firearms,4007924
2000,Total firearms,3804850
2001,Total firearms,2962002
2002,Total firearms,3347005
2003,Total firearms,3292861
2004,Total firearms,3200816
2005,Total firearms,3224509
2006,Total firearms,3618888
2007,Total firearms,3877909
2008,Total firearms,4197267
2009,Total firearms,5427256
2010,Total firearms,5346822
2011,Total firearms,6351721
2012,Total firearms,8277683
2013,Total firearms,10349648
2014,Total firearms,8695459
2015,Total firearms,8911530
