ncesid,school_name,state,county_fips,city_county,enroll2000,enroll2002,enroll2004,enroll2006,enroll2008,enroll2010
1613912,LANDMARK CHRISTIAN ACADEMY,KENTUCKY,21111,LOUISVILLE JEFFERSON,153,146,170,184,156,119
1649825,ST-FRANCIS HIGH SCHOOL,KENTUCKY,21111,LOUISVILLE JEFFERSON,130,121,125,,,
1649836,ST JOHNS ACADEMY,KENTUCKY,21111,LOUISVILLE JEFFERSON,,16,,,,
1930137,THE DE PAUL SCHOOL,KENTUCKY,21111,LOUISVILLE JEFFERSON,243,278,258,246,235,218
1930159,EMMA L MINNIS JUNIOR ACADEMY,KENTUCKY,21111,LOUISVILLE JEFFERSON,49,30,25,24,35,22
1930308,ELIAHU ACADEMY,KENTUCKY,21111,LOUISVILLE JEFFERSON,92,87,62,71,36,
2028476,MAJESTY CHRISTIAN SCHOOL,KENTUCKY,21059,OWENSBORO DAVIESS,79,59,72,,,
2028498,H.T.S.L. HALLIS TRADITIONAL SC,KENTUCKY,21067,LEX FAYETTE,11,,,,,
2028498,H.T.S.L. HALLIS TRADITIONAL SC,KENTUCKY,21067,LEXINGTON FAYETTE,,13,17,,,
2028501,LEXINGTON HEARING AND SPEECH C,KENTUCKY,21067,LEXINGTON FAYETTE,10,,,,,
2028545,CLAYS MILL ROAD CHRISTIAN ACADEMY,KENTUCKY,21067,LEXINGTON FAYETTE,61,78,82,79,85,96
2028556,THE DAVID SCHOOL,KENTUCKY,21071,DAVID FLOYD,53,75,65,50,28,40
2028567,THE REV JAMES UZZLE MEMORIAL CHRISTIAN ACADEMY,KENTUCKY,21075,HICKMAN FULTON,33,32,28,2,,8
2028578,MONTESSORI CHILDREN'S ACADEMY,KENTUCKY,21093,ELIZABETHTOWN HARDIN,6,6,6,3,17,13
2028589,PENNYRILE CHRISTIAN ACADEMY,KENTUCKY,21107,MADISONVILLE HOPKINS,58,11,22,,,
2028614,HEUSER HEARING & LANGUAGE ACADEMY,KENTUCKY,21111,LOUISVILLE JEFFERSON,10,120,8,15,30,6
2028625,THE VIRGINIA CHANCE SCHOOL,KENTUCKY,21111,LOUISVILLE JEFFERSON,103,122,165,100,98,97
2028658,CALVARY CHRISTIAN ACADEMY,KENTUCKY,21133,LETCHER LETCHER,87,56,,,,
2182643,SACRED HEART MODEL SCHOOL,KENTUCKY,21111,LOUISVILLE JEFFERSON,368,370,,360,360,360
2869726,ST JOHN SCHOOL,KENTUCKY,21209,GEORGETOWN SCOTT,114,133,152,137,127,153
513974,MERCY ACADEMY,KENTUCKY,21111,LOUISVILLE JEFFERSON,364,402,412,456,540,610
513985,MOST BLESSED SACRAMENT SCHOOL,KENTUCKY,21111,LOUISVILLE JEFFERSON,214,207,188,,,
513996,ST MARY ACADEMY,KENTUCKY,21111,LOUISVILLE JEFFERSON,440,383,,251,232,
514005,OUR LADY OF CONSOLATION EL SC,KENTUCKY,21111,LOUISVILLE JEFFERSON,177,176,145,,,
514016,OUR LADY OF LOURDES SCHOOL,KENTUCKY,21111,LOUISVILLE JEFFERSON,472,456,404,448,411,410
514027,ST NICHOLAS ACADEMY,KENTUCKY,21111,LOUISVILLE JEFFERSON,541,536,498,798,642,493
514038,OUR MOTHER OF SORROWS SCHOOL,KENTUCKY,21111,LOUISVILLE JEFFERSON,200,202,166,,,
514049,PRESENTATION ACADEMY,KENTUCKY,21111,LOUISVILLE JEFFERSON,403,373,353,340,314,285
514071,THOMAS MERTON ACADEMY,KENTUCKY,21111,LOUISVILLE JEFFERSON,184,183,,,,
