date,median_homeprice,house_starts,gdp
1/1/90,123900,3173,1434
4/1/90,126800,2700,1491
7/1/90,117000,2568,1500
10/1/90,121500,2366,1538
1/1/91,120000,2109,1475
4/1/91,119900,2532,1532
7/1/91,120000,2637,1549
10/1/91,120000,2741,1601
1/1/92,119500,3108,1555
4/1/92,120000,2982,1620
7/1/92,120000,3045,1641
10/1/92,126000,3246,1705
1/1/93,125000,3104,1638
4/1/93,127000,3319,1702
7/1/93,127000,3391,1725
10/1/93,127000,3753,1794
1/1/94,130000,3579,1736
4/1/94,130000,3643,1810
7/1/94,129700,3581,1837
10/1/94,132000,3490,1904
1/1/95,130000,3132,1835
4/1/95,133900,3059,1897
7/1/95,132000,3366,1923
10/1/95,138000,3427,1984
1/1/96,137000,3448,1925
4/1/96,139900,3559,2005
7/1/96,140000,3551,2035
10/1/96,144100,3294,2108
1/1/97,145000,3419,2044
4/1/97,145800,3349,2130
7/1/97,145000,3438,2166
10/1/97,144200,3430,2238
1/1/98,152200,3685,2161
4/1/98,149500,3717,2250
7/1/98,153000,3836,2281
10/1/98,153000,4093,2371
1/1/99,157400,4011,2293
4/1/99,158700,3798,2389
7/1/99,159100,3859,2424
10/1/99,165300,4006,2525
1/1/00,165300,3836,2449
4/1/00,163200,3707,2569
7/1/00,168800,3568,2578
10/1/00,172900,3673,2656
1/1/01,169800,3773,2562
4/1/01,179000,3891,2656
7/1/01,172500,3827,2651
10/1/01,171100,3769,2712
1/1/02,188700,4111,2631
4/1/02,187200,4047,2722
7/1/02,178100,4016,2751
10/1/02,190100,4185,2825
1/1/03,186000,4237,2744
4/1/03,191800,4278,2831
7/1/03,191900,4574,2887
10/1/03,198800,4972,2994
1/1/04,212700,4673,2925
4/1/04,217600,4824,3032
7/1/04,213500,4921,3070
10/1/04,228800,4832,3191
1/1/05,232500,5114,3111
4/1/05,233700,5091,3232
7/1/05,236400,5241,3306
10/1/05,243600,5176,3389
1/1/06,247700,5228,3333
4/1/06,246300,4532,3461
7/1/06,235600,4172,3464
10/1/06,245400,3751,3558
1/1/07,257400,3521,3482
4/1/07,242200,3458,3614
7/1/07,241800,2934,3638
10/1/07,238400,2516,3740
1/1/08,233900,2225,3657
4/1/08,235300,2008,3716
7/1/08,226500,1759,3698
10/1/08,222500,1404,3698
1/1/09,208400,1069,3522
4/1/09,220900,1277,3598
7/1/09,214300,1506,3623
10/1/09,219000,1457,3735
1/1/10,222900,1578,3602
4/1/10,219500,1468,3755
7/1/10,224100,1292,3794
10/1/10,224300,1319,3897
1/1/11,226900,1250,3765
4/1/11,228100,1264,3893
7/1/11,223500,1272,3928
10/1/11,221100,1426,4014
1/1/12,238400,1456,3960
4/1/12,238700,1546,4047
7/1/12,248800,1647,4086
10/1/12,251700,1795,4160
1/1/13,258400,1879,4065
4/1/13,268100,1809,4177
7/1/13,264800,1801,4249
10/1/13,273600,1941,4351
1/1/14,275200,1813,4204
4/1/14,288000,1901,4361
7/1/14,281000,1964,4455
10/1/14,298900,2077,4531
1/1/15,289200,1914,4390
4/1/15,289100,2150,4556
7/1/15,295800,2239,4605
10/1/15,302500,2244,4655
1/1/16,299800,2364,4497
4/1/16,306000,2299,4666
7/1/16,303800,2280,4721
10/1/16,310900,2477,4812
1/1/17,313100,2504,4650
4/1/17,318200,2515,4859
7/1/17,320500,2541,4924
10/1/17,337900,2630,5047
1/1/18,331800,2671,4922
4/1/18,315600,2738,5134
7/1/18,330900,2623,5188
10/1/18,322800,2425,5283
1/1/19,313000,2571,5117
4/1/19,322500,2587,5345
7/1/19,318400,2696,5398
10/1/19,327100,2818,5513
1/1/20,329000,2942,5224
4/1/20,322600,2321,4877
7/1/20,337500,3123,5302
10/1/20,358700,3659,5490
1/1/21,369800,3467,5368
4/1/21,382600,3320,5712
7/1/21,404700,3272,5819
