health_expenditures,treatment_locality,age_hh,educ_hh,dirtfloor,bathroom,hospital_distance
19.5809021,Yes,25,0,1,0,124.8199663
2.398854494,Yes,31,4,1,0,124.8199663
0,Yes,59,0,1,0,124.8199663
20.02690887,Yes,36,3,1,0,124.8199663
16.6646862,Yes,39,0,1,0,124.8199663
0.11554642,Yes,35,0,1,0,124.8199663
0,Yes,31,0,0,0,124.8199663
17.22369766,Yes,58,3,0,0,124.8199663
1.284900904,Yes,25,2,1,0,124.8199663
6.417482376,Yes,40,0,1,0,124.8199663
2.529971361,Yes,24,5,0,0,124.8199663
1.427870989,Yes,41,2,0,0,124.8199663
11.09323788,Yes,28,3,1,0,124.8199663
6.482361794,Yes,51,2,1,0,124.8199663
4.923542976,Yes,47,0,1,0,124.8199663
0.354052722,Yes,41,4,0,0,124.8199663
1.209989786,Yes,26,0,1,0,124.8199663
3.111018419,Yes,41,3,1,0,124.8199663
49.68514633,Yes,27,6,1,0,124.8199663
1.210861444,Yes,43,1,1,0,135.4732181
14.98929691,Yes,32,2,1,0,135.4732181
2.187369585,Yes,32,3,0,0,135.4732181
3.009656191,Yes,40,0,1,0,135.4732181
4.218551636,Yes,48,0,1,0,135.4732181
2.845888376,Yes,33,2,1,0,135.4732181
0.750624835,Yes,67,0,1,0,135.4732181
22.62376785,No,19,0,1,0,142.1361295
11.78347492,No,28,0,1,0,142.1361295
19.74955559,No,48,0,1,0,142.1361295
10.48104,No,26,1,1,0,142.1361295
18.45314026,No,37,0,1,0,142.1361295
0,Yes,33,4,1,0,163.841865
3.74251771,Yes,51,3,1,0,163.841865
0.512689769,Yes,73,0,1,0,163.841865
0,Yes,68,2,1,1,163.841865
1.581632853,Yes,29,3,1,0,163.841865
9.088627815,Yes,61,0,1,0,163.841865
0.058833312,Yes,42,4,1,0,163.841865
1.128546,Yes,38,0,1,0,163.841865
0.510587871,Yes,41,0,1,0,163.841865
0.075984195,Yes,28,3,1,0,163.841865
0,Yes,71,0,1,0,163.841865
0,Yes,34,0,1,0,163.841865
4.100892067,Yes,57,0,1,1,163.841865
0,Yes,32,2,1,1,163.841865
2.492964983,Yes,28,1,1,0,163.841865
0,Yes,34,6,1,0,163.841865
0.265970409,Yes,33,4,1,0,163.841865
3.752892733,Yes,36,0,1,0,163.841865
11.99039364,Yes,76,0,1,0,163.841865
1.296791315,Yes,36,0,1,0,163.841865
0,Yes,24,0,1,0,163.841865
1.577647448,Yes,27,0,1,0,163.841865
0.801330745,Yes,40,0,0,0,163.841865
0,Yes,38,0,0,0,163.841865
0,Yes,35,5,0,1,163.841865
0,Yes,47,0,1,0,163.841865
0,Yes,60,0,1,0,163.841865
2.884870768,Yes,63,0,1,1,163.841865
0.364113033,Yes,27,0,1,0,163.841865
7.066191673,Yes,32,3,1,0,163.841865
0,Yes,78,0,1,0,163.841865
0,Yes,43,0,1,0,163.841865
0.560832202,Yes,66,0,1,0,163.841865
1.951212168,Yes,31,9,0,1,163.841865
6.588775635,Yes,56,0,1,0,163.841865
0,Yes,50,0,1,0,163.841865
0,Yes,47,6,0,1,163.841865
4.019115448,Yes,78,0,1,0,163.841865
0.102624133,Yes,43,0,1,0,163.841865
8.30574894,Yes,42,0,1,0,163.841865
5.333553314,Yes,26,5,0,0,163.841865
3.191191912,Yes,26,5,1,1,163.841865
3.286484003,Yes,31,5,0,1,163.841865
8.460564613,Yes,42,0,1,0,163.841865
1.684717417,Yes,27,6,0,0,163.841865
2.987306833,Yes,24,0,1,0,132.0014944
15.15687466,Yes,23,6,1,0,132.0014944
0,Yes,27,6,1,1,132.0014944
0,Yes,33,6,1,1,132.0014944
0,Yes,33,2,1,0,132.0014944
7.956046104,Yes,41,3,1,0,132.0014944
11.52003193,Yes,21,5,1,0,132.0014944
3.989687204,Yes,51,2,1,0,132.0014944
0,Yes,42,0,1,0,132.0014944
0.784026325,Yes,34,5,1,0,132.0014944
0,Yes,28,2,1,0,132.0014944
2.211018801,Yes,29,6,1,0,132.0014944
16.79076385,Yes,43,0,1,0,132.7723222
4.921339989,Yes,52,0,1,0,132.7723222
0.984786212,Yes,43,2,1,0,130.478401
1.790423632,Yes,61,2,1,0,130.478401
3.453407526,Yes,53,0,1,0,130.478401
4.151057243,Yes,87,0,1,0,130.478401
4.297907829,Yes,38,0,1,0,130.478401
4.376176834,Yes,37,6,1,1,147.6587297
9.91823864,Yes,44,0,1,0,107.6778667
0,Yes,41,0,1,0,107.6778667
7.581599236,Yes,34,0,1,0,107.6778667
14.39095402,Yes,47,0,0,0,107.6778667
0,Yes,56,0,1,0,107.6778667
2.853352785,Yes,59,0,1,0,107.6778667
6.391329765,Yes,38,0,1,1,107.6778667
6.225609779,Yes,33,5,1,0,107.6778667
2.487130404,Yes,32,6,1,0,112.7670071
0,Yes,28,6,0,0,112.7670071
3.975013018,Yes,41,0,1,0,112.7670071
1.138464212,Yes,33,6,1,0,112.7670071
12.17291737,Yes,28,6,1,0,112.7670071
9.445021629,Yes,29,6,1,0,112.7670071
4.061479568,Yes,73,0,0,0,112.7670071
14.54745388,Yes,26,6,1,0,112.7670071
11.14710522,Yes,26,6,1,0,112.7670071
12.13685131,Yes,28,0,1,0,112.7670071
5.153447151,Yes,22,3,1,0,112.7670071
6.626278877,Yes,46,0,1,0,112.7670071
1.062110186,Yes,30,6,1,0,112.7670071
